,卡名,年費,國內消費現金回饋,國內消費現金回饋備註,國外消費現金回饋,國外消費現金回饋備註,分期零利率,分期零利率回饋備註,最低可分期金額,最低可分期金額備註,加油現金回饋,加油現金回饋備註,加油優惠,加油優惠備註,國內哩程累積,國內哩程累積備註,國外哩程累積,國外哩程累積備註,首刷里程回饋,首刷里程回饋備註,首刷(類)現金回饋,國首刷(類)現金回饋備註,週末電影折扣,週末電影折扣備註,平日電影折扣,平日電影折扣備註,,數位通路回饋上限,數位通路回饋上限備註,網購回饋,網購回饋備註
69,台新銀行 昇恆昌聯名卡,NT$300 ,1.50%,於國內消費,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
70,元大銀行 分享黑啤卡,"NT$1,800 ",1.50%, ,0.50%, ,,,,,,,,,,,,,,,,,,,,,,,,,
71,花旗銀行 PChome Prime聯名卡,"NT$2,400 ",1.50%,國內一般消費享0.5%回饋,0.50%,國外實體及網路通路消費享1.5%回饋,,,,,,,,,,,,,,,,,,,,,,,,,
72,合作金庫 JCB悠遊晶緻卡,"NT$1,800 ",1.50%,於國內消費,0.30%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
73,臺灣企銀 北港朝天宮媽祖認同卡,"NT$2,400 ",1.50%,於國內差旅消費,0.30%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
74,臺灣銀行 鈦金商旅卡,"NT$2,400 ",1.50%,於國內消費達門檻最高可享1.2%回饋,0.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
75,永豐銀行 Prestige美國運通卡,NT$300 ,1.20%,於國內消費，家樂福購物達門檻最高加碼3%回饋,1.20%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
76,陽信銀行 一卡通聯名鈦金卡,"NT$1,800 ",1.10%,於國內消費,1.10%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
77,星展銀行 everyday鈦金卡,首年免年費,1%,於六大指定通路消費之等值換算,1%,於六大指定通路消費之等值換算,,,,,,,,,,,,,,,,,,,,,,,,,
78,玉山銀行 U Bear信用卡,首年免年費,1%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
79,王道銀行 簽帳金融卡,NT$0 ,1%,不限通路回饋無上限,1%,不限通路回饋無上限,,,,,,,,,,,,,,,,,,,,,,,,,
80,華南銀行 超級現金回饋卡,"NT$1,200 ",1%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
81,台中商銀 JCB哆啦A夢晶緻卡,"NT$1,200 ",1%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
82,合作金庫 利high卡,"NT$1,800 ",1%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
83,合作金庫 卡娜赫拉的小動物 icash 聯名卡,"NT$1,800 ",1%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
84,凱基銀行 魔fun悠遊御璽卡,"NT$1,800 ",1%,於國內消費達門檻,1%,於國外消費達門檻,,,,,,,,,,,,,,,,,,,,,,,,,
85,土地銀行 JCB一卡通聯名晶緻卡,"NT$2,000 ",1%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
86,凱基銀行 中壽聯名卡,"NT$3,000 ",1%,於國內消費,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
87,土地銀行 白金商務卡,"NT$3,000 ",1%,於國內消費達指定門檻最高享1%現金回饋,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
88,元大銀行 藝術白金卡,NT$900 ,1%,於國內消費,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
89,玉山銀行 漢神巨蛋聯名卡,首年免年費,1%,館外一般消費,0.30%, ,,,,,,,,,,,,,,,,,,,,,,,,,
90,合作金庫 漢來美食聯名卡,"NT$1,800 ",1%,於國內消費,0.30%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
91,玉山銀行 玉山世界卡,首年免年費,1%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
92,兆豐銀行 世界卡,"NT$10,000 ",1%,於國內消費,0%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
93,安泰銀行 晶緻卡,NT$0 ,0.75%,於國內消費,0.25%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
94,安泰銀行 鈦金卡,NT$0 ,0.75%,於國內消費達門檻最高享1.2%回饋,0.25%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
95,聯邦銀行 理財型白金卡 ,首年免年費,0.70%,於國內消費,0.70%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
96,三信銀行 VISA白金卡,NT$300 ,0.70%,於國內消費,0.70%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
97,台北富邦 數位生活卡,"NT$1,500 ",0.70%,於國內消費,0.70%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
98,台北富邦 鑽保卡,"NT$1,500 ",0.70%,於國內消費,0.70%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
99,永豐銀行 Me Card,"NT$3,000 ",0.67%,指定保費代繳享1%回饋,0.67%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
100,永豐銀行 鈦豐卡,"NT$3,000 ",0.67%,指定保費代繳享1%回饋,0.67%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
101,中國信託 寰遊美國運通卡,首年免年費,0.60%,於指定通路消費，家樂福購物達門檻最高加碼3%回饋,1%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
102,玉山銀行 幸運鈦金卡,首年免年費,0.60%,於國內消費達門檻，最高可享0.6%回饋,0.60%,於國外消費達門檻，最高可享0.6%回饋,,,,,,,,,,,,,,,,,,,,,,,,,
103,玉山銀行 幸運PLUS鈦金卡,首年免年費,0.60%,於國內消費達門檻，最高可享0.6%，每週三玉山日消費再加碼1%,0.60%,國外消費達門檻最高享0.6%，每週三玉山日消費再加碼1%,,,,,,,,,,,,,,,,,,,,,,,,,
104,聯邦銀行 樂活悠遊御璽卡,首年免年費,0.50%,偶數日活動登錄成功，ㄧ般消費享0.5%回饋,2%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
105,第一銀行 Wonderful星璨卡,"NT$1,200 ",0.50%,於國內指定通路消費,2%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
106,日盛銀行 GOGO卡,"NT$1,500 ",0.50%,於國內四大通路消費並達指定門檻，最高享2%,2%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
107,星展銀行 豐盛無限卡,"NT$3,600 ",0.50%, ,1%, ,,,,,,,,,,,,,,,,,,,,,,,,,
108,國泰世華 國泰人壽聯名卡,首年免年費,0.50%,於國內消費,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
109,聯邦銀行 農金一卡通聯名卡,首年免年費,0.50%,於國內消費,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
110,聯邦銀行 F1 加油卡,首年免年費,0.50%,於國內消費,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
111,台新銀行 燦坤生活聯名卡,"NT$1,500 ",0.50%,於國內消費,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
112,台北富邦 財神卡,"NT$1,500 ",0.50%,於國內消費,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
113,台北富邦 台灣大哥大悠遊聯名卡,"NT$1,500 ",0.50%,於國內消費,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
114,臺灣企銀 悠遊聯名卡,"NT$2,400 ",0.50%,消費達指定門檻最高享0.5%回饋,0.50%,消費達指定門檻最高享0.5%回饋,,,,,,,,,,,,,,,,,,,,,,,,,
115,台新銀行 三商美邦人壽聯名卡,"NT$3,000 ",0.50%,繳三商美邦保費並達門檻,0.50%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
116,兆豐銀行 幸福卡,"NT$1,500 ",0.50%,於國內消費,0.30%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
117,元大銀行 世界卡,"NT$5,000 ",0.50%,於國內消費,0.30%,於國外消費,,,,,,,,,,,,,,,,,,,,,,,,,
